agreement_state,insurance_type,annual_premium,sum_insured,date_of_birth,issue_date,premium_payment_term,insurance_term,technical_start,debt,insured_person,issuing_company,surrender_value,non_invested_founds,max_available_withdrawal,value_of_emergency_insurance,value_of_personal_account,valid_until,eligible_persons
new,UL_endowment,9341.02,653871.4,1971-06-06,2020-07-23,35,28,2020-07-31,0.0,Bradley Edwards,Company B,228854.99,0,228854.99,11500,0,2048-07-24,Melanie Gutierrez
paid_up,endowment,5274.28,94937.04,1996-03-21,2018-04-23,9,5,2018-05-14,0.0,Tracy Morris,Company B,33227.96,0,33227.96,16500,0,2023-05-13,Thomas Calderon
declined,term_insurance,10605.71,360594.14,2000-04-10,2022-10-03,17,44,2022-10-18,0.0,Brian Jackson,Company A,0.0,0,0.0,4000,0,2066-10-07,Jonathan Hicks
new,annuity,3890.98,4085.53,1987-06-02,2016-04-12,20,45,2016-04-28,1945.49,Marilyn Goodwin,Company A,62255.68,0,62255.68,17500,0,2061-04-17,Eric Martinez
new,endowment,10097.65,282734.2,1950-04-15,1995-02-22,14,22,1995-03-12,1682.94,Jennifer Chang,Company A,98956.97,0,98956.97,18500,0,2017-03-06,Jean Thompson
closed,whole_of_life,9833.06,688314.2,1960-02-13,1982-01-26,35,9999,1982-02-07,0.0,Amanda Smith,Company D,0.0,0,0.0,11500,0,99999,Christopher Lloyd
new,term_insurance,1733.56,93612.24,1962-04-20,1996-05-16,27,5,1996-06-12,0.0,Casey Nelson,Company B,0.0,0,0.0,13500,0,2001-06-11,Latoya Johnson
paid_up,endowment,9440.57,453147.36,1998-07-22,2048-02-18,24,29,2048-02-23,3146.86,Kenneth Phillips,Company A,158601.58,0,158601.58,5500,0,2077-02-15,Anthony Hanson
declined,whole_of_life,5867.23,387237.18,1999-02-23,2021-07-13,33,9999,2021-07-24,1955.74,David Vasquez,Company C,0.0,0,0.0,17500,0,99999,Brittany Reynolds
new,annuity,2591.34,2720.91,1998-09-20,2032-03-10,29,41,2032-04-08,647.84,Anthony Le,Company D,60119.09,0,60119.09,5500,0,2073-03-29,William Hood
closed,term_insurance,2674.48,112328.16,1971-06-12,2015-11-25,21,22,2015-12-15,668.62,Mr. Frank Elliott,Company A,0.0,0,0.0,9000,0,2024-01-31T00:00:00,Sheri Bailey
declined,whole_of_life,5513.1,66157.2,1970-05-08,2016-11-17,6,9999,2016-12-12,5513.1,Alyssa Garcia,Company B,0.0,0,0.0,19500,0,99999,April Barajas
declined,whole_of_life,9020.91,306710.94,1994-08-12,2028-08-16,17,9999,2028-09-07,0.0,Keith Durham,Company A,0.0,0,0.0,14500,0,99999,Kathryn Smith
